id,name,score,score2
1,student_1,74,66
2,student_2,73,59
3,student_3,85,89
4,student_4,91,72
5,student_5,61,66
6,student_6,62,86
7,student_7,95,68
8,student_8,61,85
9,student_9,66,54
10,student_10,100,95
11,student_11,91,70
12,student_12,92,75
13,student_13,82,67
14,student_14,99,63
15,student_15,69,54
16,student_16,65,75
17,student_17,52,50
18,student_18,62,100
19,student_19,58,50
20,student_20,91,70
21,student_21,60,81
22,student_22,69,80
23,student_23,94,53
24,student_24,71,60
25,student_25,67,89
26,student_26,61,64
27,student_27,75,91
28,student_28,100,55
29,student_29,65,85
30,student_30,51,70
31,student_31,63,95
32,student_32,58,97
33,student_33,62,80
34,student_34,92,65
35,student_35,83,55
36,student_36,53,83
37,student_37,78,96
38,student_38,82,84
39,student_39,68,51
40,student_40,58,62
41,student_41,86,93
42,student_42,97,90
43,student_43,52,89
44,student_44,80,81
45,student_45,77,58
46,student_46,74,76
47,student_47,72,92
48,student_48,58,75
49,student_49,89,70
50,student_50,80,69
51,student_51,61,93
52,student_52,51,91
53,student_53,94,65
54,student_54,89,55
55,student_55,60,51
56,student_56,96,65
57,student_57,50,66
58,student_58,63,51
59,student_59,60,93
60,student_60,62,95
61,student_61,62,82
62,student_62,70,66
63,student_63,60,77
64,student_64,65,64
65,student_65,85,50
66,student_66,51,65
67,student_67,56,71
68,student_68,83,100
69,student_69,93,95
70,student_70,92,58
71,student_71,73,81
72,student_72,87,87
73,student_73,96,58
74,student_74,62,79
75,student_75,86,57
76,student_76,51,75
77,student_77,87,77
78,student_78,82,68
79,student_79,56,95
80,student_80,69,85
81,student_81,94,72
82,student_82,70,70
83,student_83,84,81
84,student_84,83,55
85,student_85,74,93
86,student_86,70,91
87,student_87,60,85
88,student_88,65,64
89,student_89,91,91
90,student_90,93,72
91,student_91,58,82
92,student_92,96,86
93,student_93,54,63
94,student_94,77,75
95,student_95,90,98
96,student_96,69,62
97,student_97,57,56
98,student_98,86,72
99,student_99,87,74
100,student_100,69,60
101,student_101,66,57
102,student_102,89,79
103,student_103,76,65
104,student_104,60,81
105,student_105,68,79
106,student_106,82,100
107,student_107,95,59
108,student_108,100,51
109,student_109,62,55
110,student_110,70,93
111,student_111,100,68
112,student_112,59,60
113,student_113,82,80
114,student_114,85,70
115,student_115,55,98
116,student_116,94,55
117,student_117,71,93
118,student_118,100,78
119,student_119,96,54
120,student_120,55,76
121,student_121,61,95
122,student_122,67,67
123,student_123,83,67
124,student_124,86,57
125,student_125,53,77
126,student_126,55,92
127,student_127,73,62
128,student_128,90,64
129,student_129,61,96
130,student_130,100,74
131,student_131,73,50
132,student_132,100,71
133,student_133,93,87
134,student_134,98,51
135,student_135,67,50
136,student_136,51,94
137,student_137,59,54
138,student_138,85,77
139,student_139,68,81
140,student_140,82,91
141,student_141,99,62
142,student_142,100,60
143,student_143,88,75
144,student_144,79,84
145,student_145,58,100
146,student_146,50,79
147,student_147,80,75
148,student_148,64,55
149,student_149,52,93
150,student_150,85,94
151,student_151,68,96
152,student_152,69,82
153,student_153,97,73
154,student_154,69,56
155,student_155,84,99
156,student_156,69,62
157,student_157,61,85
158,student_158,88,57
159,student_159,68,88
160,student_160,60,85
161,student_161,98,60
162,student_162,84,76
163,student_163,96,75
164,student_164,85,52
165,student_165,97,100
166,student_166,66,68
167,student_167,60,63
168,student_168,77,68
169,student_169,84,87
170,student_170,98,92
171,student_171,74,60
172,student_172,100,95
173,student_173,86,77
174,student_174,58,74
175,student_175,79,59
176,student_176,95,75
177,student_177,94,92
178,student_178,60,84
179,student_179,63,91
180,student_180,67,95
181,student_181,57,50
182,student_182,91,66
183,student_183,83,71
184,student_184,84,82
185,student_185,92,67
186,student_186,71,61
187,student_187,52,80
188,student_188,82,70
189,student_189,55,52
190,student_190,75,74
191,student_191,54,64
192,student_192,91,58
193,student_193,68,63
194,student_194,51,52
195,student_195,78,63
196,student_196,56,83
197,student_197,55,91
198,student_198,56,74
199,student_199,88,87
200,student_200,94,94
201,student_201,79,52
202,student_202,58,92
203,student_203,86,100
204,student_204,97,83
205,student_205,77,94
206,student_206,83,59
207,student_207,71,69
208,student_208,90,88
209,student_209,58,96
210,student_210,83,69
211,student_211,91,76
212,student_212,77,69
213,student_213,80,80
214,student_214,97,69
215,student_215,81,100
216,student_216,63,93
217,student_217,97,50
218,student_218,55,92
219,student_219,92,58
220,student_220,83,77
221,student_221,57,92
222,student_222,91,74
223,student_223,69,75
224,student_224,99,71
225,student_225,93,87
226,student_226,53,88
227,student_227,60,54
228,student_228,100,73
229,student_229,54,93
230,student_230,73,96
231,student_231,98,94
232,student_232,51,67
233,student_233,97,90
234,student_234,69,52
235,student_235,94,86
236,student_236,62,57
237,student_237,61,94
238,student_238,68,72
239,student_239,68,85
240,student_240,52,89
241,student_241,62,94
242,student_242,96,95
243,student_243,78,71
244,student_244,72,79
245,student_245,91,70
246,student_246,95,78
247,student_247,59,56
248,student_248,90,63
249,student_249,73,80
250,student_250,61,79
251,student_251,70,78
252,student_252,99,64
253,student_253,78,72
254,student_254,88,81
255,student_255,90,80
256,student_256,72,92
257,student_257,50,92
258,student_258,53,89
259,student_259,72,94
260,student_260,93,98
261,student_261,61,87
262,student_262,80,67
263,student_263,69,99
264,student_264,58,81
265,student_265,84,86
266,student_266,52,60
267,student_267,55,71
268,student_268,59,75
269,student_269,97,88
270,student_270,71,69
271,student_271,52,99
272,student_272,98,64
273,student_273,94,73
274,student_274,51,66
275,student_275,50,75
276,student_276,53,93
277,student_277,90,69
278,student_278,89,66
279,student_279,88,58
280,student_280,79,66
281,student_281,100,89
282,student_282,51,90
283,student_283,79,81
284,student_284,90,90
285,student_285,54,94
286,student_286,86,56
287,student_287,81,65
288,student_288,76,77
289,student_289,93,55
290,student_290,50,93
291,student_291,60,61
292,student_292,87,93
293,student_293,83,90
294,student_294,92,71
295,student_295,95,69
296,student_296,82,58
297,student_297,53,89
298,student_298,60,50
299,student_299,55,94
300,student_300,100,53
301,student_301,85,85
302,student_302,89,86
303,student_303,63,94
304,student_304,86,60
305,student_305,52,79
306,student_306,100,83
307,student_307,51,55
308,student_308,54,51
309,student_309,60,58
310,student_310,61,80
311,student_311,70,64
312,student_312,77,80
313,student_313,77,100
314,student_314,50,94
315,student_315,70,81
316,student_316,90,89
317,student_317,82,75
318,student_318,84,61
319,student_319,51,86
320,student_320,61,51
321,student_321,93,53
322,student_322,78,66
323,student_323,71,57
324,student_324,77,60
325,student_325,67,68
326,student_326,71,76
327,student_327,67,91
328,student_328,66,81
329,student_329,63,69
330,student_330,55,98
331,student_331,87,57
332,student_332,56,80
333,student_333,75,96
334,student_334,56,58
335,student_335,75,65
336,student_336,100,80
337,student_337,64,51
338,student_338,81,85
339,student_339,87,73
340,student_340,74,78
341,student_341,65,70
342,student_342,87,61
343,student_343,81,99
344,student_344,64,58
345,student_345,99,58
346,student_346,53,62
347,student_347,54,61
348,student_348,93,67
349,student_349,64,83
350,student_350,55,87
351,student_351,53,96
352,student_352,87,67
353,student_353,81,53
354,student_354,85,99
355,student_355,59,51
356,student_356,72,67
357,student_357,83,94
358,student_358,90,100
359,student_359,93,87
360,student_360,59,100
361,student_361,84,73
362,student_362,95,66
363,student_363,75,91
364,student_364,74,52
365,student_365,74,82
366,student_366,69,95
367,student_367,96,94
368,student_368,66,78
369,student_369,99,61
370,student_370,57,53
371,student_371,97,72
372,student_372,64,51
373,student_373,64,97
374,student_374,89,92
375,student_375,52,70
376,student_376,83,98
377,student_377,62,53
378,student_378,61,87
379,student_379,72,74
380,student_380,50,85
381,student_381,59,99
382,student_382,63,98
383,student_383,65,58
384,student_384,80,54
385,student_385,87,56
386,student_386,57,57
387,student_387,81,93
388,student_388,75,69
389,student_389,93,84
390,student_390,65,52
391,student_391,77,50
392,student_392,71,61
393,student_393,89,84
394,student_394,76,64
395,student_395,78,97
396,student_396,77,55
397,student_397,53,57
398,student_398,79,70
399,student_399,50,85
400,student_400,91,65
401,student_401,77,95
402,student_402,56,74
403,student_403,65,72
404,student_404,100,73
405,student_405,68,69
406,student_406,53,55
407,student_407,89,93
408,student_408,100,75
409,student_409,90,59
410,student_410,76,56
411,student_411,60,78
412,student_412,83,64
413,student_413,97,55
414,student_414,89,61
415,student_415,63,56
416,student_416,73,78
417,student_417,80,70
418,student_418,57,50
419,student_419,84,75
420,student_420,69,85
421,student_421,91,67
422,student_422,99,96
423,student_423,61,51
424,student_424,87,95
425,student_425,65,51
426,student_426,81,67
427,student_427,73,67
428,student_428,98,70
429,student_429,72,65
430,student_430,55,86
431,student_431,53,91
432,student_432,97,66
433,student_433,93,74
434,student_434,52,96
435,student_435,92,87
436,student_436,77,87
437,student_437,77,94
438,student_438,86,56
439,student_439,98,60
440,student_440,62,59
441,student_441,68,53
442,student_442,73,87
443,student_443,57,69
444,student_444,82,91
445,student_445,63,96
446,student_446,61,59
447,student_447,80,80
448,student_448,80,62
449,student_449,81,89
450,student_450,62,60
451,student_451,72,56
452,student_452,88,92
453,student_453,57,70
454,student_454,71,71
455,student_455,55,55
456,student_456,55,62
457,student_457,98,97
458,student_458,81,64
459,student_459,60,96
460,student_460,63,90
461,student_461,53,91
462,student_462,64,68
463,student_463,57,93
464,student_464,94,79
465,student_465,97,65
466,student_466,92,99
467,student_467,98,95
468,student_468,94,88
469,student_469,57,74
470,student_470,68,70
471,student_471,68,84
472,student_472,74,81
473,student_473,77,63
474,student_474,73,77
475,student_475,95,85
476,student_476,64,79
477,student_477,92,91
478,student_478,88,80
479,student_479,70,77
480,student_480,56,80
481,student_481,100,76
482,student_482,71,81
483,student_483,77,77
484,student_484,67,67
485,student_485,97,92
486,student_486,69,96
487,student_487,77,58
488,student_488,62,98
489,student_489,76,83
490,student_490,82,100
491,student_491,78,85
492,student_492,84,66
493,student_493,53,71
494,student_494,82,94
495,student_495,83,75
496,student_496,81,96
497,student_497,56,53
498,student_498,85,96
499,student_499,70,91
500,student_500,53,51
501,student_501,71,89
502,student_502,85,89
503,student_503,80,98
504,student_504,77,82
505,student_505,90,88
506,student_506,59,62
507,student_507,51,55
508,student_508,67,59
509,student_509,64,73
510,student_510,63,69
511,student_511,95,79
512,student_512,81,66
513,student_513,50,63
514,student_514,66,70
515,student_515,98,78
516,student_516,72,92
517,student_517,71,82
518,student_518,85,74
519,student_519,61,75
520,student_520,64,89
521,student_521,79,91
522,student_522,63,59
523,student_523,63,74
524,student_524,81,72
525,student_525,99,100
526,student_526,62,83
527,student_527,57,90
528,student_528,84,87
529,student_529,92,55
530,student_530,52,51
531,student_531,68,96
532,student_532,93,82
533,student_533,70,50
534,student_534,76,80
535,student_535,51,79
536,student_536,82,84
537,student_537,54,86
538,student_538,88,97
539,student_539,99,61
540,student_540,97,99
541,student_541,79,52
542,student_542,97,99
543,student_543,54,100
544,student_544,68,58
545,student_545,99,55
546,student_546,69,50
547,student_547,53,54
548,student_548,98,71
549,student_549,96,91
550,student_550,64,71
551,student_551,85,79
